school_latitude(W),school_longitude(N),school_zip,t_price_excl_donation($),t_price_incl_donation($),students_reached,total_donations($),num_donors
41.88966,-87.709014,60624,239.59,281.87,100,241.28,3
33.805172,-118.06301,90720,327.65,385.47,24,385.47,1
41.685578,-86.253561,46601,246.89,290.46,25,115,3
34.879713,-82.455706,29617,463.11,544.84,15,54.62,3
31.891043,-102.362923,79762,1021.52,1201.79,24,1088.27,3
37.618627,-77.489022,23228,655.79,771.52,650,734.46,8
41.503605,-112.025472,84302,392.96,462.31,48,431.07,12
44.205643,-73.247455,5456,665.95,783.47,59,774.65,10
32.69738,-96.795815,75216,424.14,498.99,22,484.59,2
40.67246161,-73.90657358,11212,155.1,182.47,153,182.47,5
41.946583,-87.690902,60618,2028.42,2386.38,30,2386.38,1
33.63205,-112.08139,85023,1985.66,2336.07,800,0,0
34.158554,-118.417282,91423,357.17,420.2,24,415.79,3
33.477409,-112.141899,85009,592.15,696.65,28,0,0
32.708431,-96.773651,75216,423.67,498.44,73,498.44,2
38.753136,-90.314008,63135,459.86,541.01,120,470.42,2
38.108361,-121.284604,95240,486.6,572.47,100,572.47,4
41.93981,-87.702534,60618,184.36,216.89,30,216.9,3
38.309826,-85.722247,47130,664.22,781.44,120,777.02,6
34.036792,-118.212526,90023,472.57,555.96,40,555.96,1
38.896244,-76.91983,20019,803.96,945.84,230,945.84,1
39.937447,-75.223011,19143,399.01,469.42,150,469.43,5
41.477718,-81.751305,44102,409.45,481.71,20,480.82,2
39.905557,-86.183745,46260,182.23,214.39,25,214.39,2
32.81701,-109.716006,85546,1772.48,2085.27,20,350,5
41.508507,-81.630226,44103,157.11,184.84,60,184.83,5
39.186515,-84.46509,45237,507.83,597.45,130,595.39,8
38.8297,-104.776878,80910,1955.69,2300.81,27,130,2
42.380127,-83.246609,48223,206.98,243.51,25,243.51,2
34.015184,-118.162409,90022,311.33,366.27,30,362.74,4
39.980285,-75.180371,19121,413.76,486.78,15,482.36,9
42.710052,-87.812431,53405,450.64,530.16,25,529.1,9
33.319962,-83.688621,31064,409.35,481.59,90,481.59,4
42.269863,-83.162521,48217,1115.04,1311.81,132,1311.81,1
42.655663,-89.036713,53546,181.95,214.06,30,214.06,1
27.99088703,-82.37714256,33610,6891,8107.06,200,50,1
35.085853,-89.764353,38139,309.64,364.28,80,354.58,14
29.348823,-98.610796,78242,340.51,400.6,22,374.56,10
44.835338,-93.315525,55431,829.19,975.52,24,974.81,7
35.04523002,-97.93275923,73018,263.93,310.51,326,310.51,3
34.505091,-88.626137,38824,1271.66,1496.07,25,0,0
40.604107,-111.965614,84088,313.84,369.22,120,0,0
39.045604,-94.695652,66106,698.07,821.26,22,821.25,2
29.955991,-92.038474,70533,576.04,677.69,22,0,0
31.867166,-81.570088,31313,238.06,280.07,60,0,0
43.16139603,-100.9694595,57572,776.29,913.28,100,895.64,2
41.975503,-87.65788,60640,395.31,465.07,27,465.07,2
38.274919,-77.550032,22407,402.18,473.15,700,468.74,3
66.34281586,-159.5188222,99770,410.07,482.44,50,482.44,1
32.745064,-96.569283,75149,237,278.82,18,278.82,5
47.439302,-122.83466,98528,1282.97,1509.38,28,0,0
38.01625918,-90.72520467,63630,173.12,203.67,75,203.67,1
39.523183,-104.964124,80126,267.69,314.93,250,0,0
41.485871,-90.586248,61201,312.68,367.86,20,366.8,17
27.974957,-82.494324,33607,240.31,282.72,20,273.89,7
38.409135,-121.373275,95624,465.85,548.06,165,0,0
37.84318561,-97.3719896,67147,1907.48,2244.09,150,0,0
41.174185,-86.036123,46539,708.88,833.98,10,50,1
42.647581,-71.34956,1854,406.01,477.66,500,441.84,2
38.37993944,-91.50324518,65066,448.31,527.42,20,50,1
33.294911,-111.92834,85226,184.62,217.2,30,102,2
35.812756,-78.768242,27513,422.37,496.91,50,472.62,7
34.09343907,-98.56929444,76354,306.66,360.78,38,25,1
40.725434,-89.622512,61604,435.45,512.29,20,511.06,9
40.21962024,-74.73272011,8629,1559.3,1834.47,75,1834.48,5
34.986796,-81.228691,29745,1288.08,1515.39,45,1515.39,3
28.026834,-82.446838,33604,2293.65,2698.41,50,2689.06,15
34.054788,-84.197236,30097,359.07,422.44,60,0,0
33.817489,-84.454952,30318,334.5,393.53,14,25,1
40.628521,-74.107315,10310,577.49,679.4,72,283.2,9
37.990826,-121.689738,94561,408.36,480.42,20,50,1
41.75650834,-103.3188236,69334,191.24,224.99,15,208.11,2
36.340264,-95.830383,74021,328.96,387.01,25,378.19,6
27.988166,-82.455407,33603,679.44,799.34,250,777.28,7
40.165609,-85.423883,47302,422.66,497.25,130,50,1
40.736847,-115.622388,89815,824.49,969.99,25,969.99,12
47.703526,-122.099432,98052,1270.38,1494.56,25,50,2
39.514171,-87.385009,47805,484.61,570.13,24,5,1
35.989339,-78.988647,27705,335.2,394.35,25,389.94,8
35.221127,-80.78362,28205,229.57,270.08,60,0,0
33.024078,-96.598784,75094,537.44,632.28,20,0,0
29.054238,-82.056797,34420,435.99,512.93,17,512.93,5
40.738867,-73.254822,11706,228.64,268.99,90,268.98,5
41.199787,-73.181795,6610,788.14,927.22,24,0,0
44.525365,-122.89051,97355,791.14,930.75,30,811,7
37.610127,-122.404083,94066,2195.66,2583.13,288,2561.07,19
26.599062,-80.122237,33463,957.49,1126.46,10,25,1
39.77941,-86.289609,46214,5377.02,6325.91,150,0,0
39.732292,-86.226334,46241,481.25,566.18,27,566.17,8
37.098561,-94.518777,64801,812.72,956.14,60,956.14,2
35.003812,-82.003637,29316,415.3,488.59,21,200,8
34.21627,-118.358772,91352,671.38,789.86,30,789.86,2
35.060928,-89.813332,38119,839.97,988.2,20,988.2,2
32.93647766,-83.72914886,31210,958.43,1127.56,20,0,0
32.904198,-96.861465,75229,1146.93,1349.33,7,50,1
40.11807573,-79.6206558,15683,373.97,439.96,25,150,4
40.40848541,-77.0381546,17020,863.53,1015.92,750,986.8,11
36.204605,-115.026545,89156,377.11,443.66,150,0,0
34.566733,-92.574653,72015,366.18,430.8,140,100,4
45.057083,-93.250319,55421,418.73,492.62,29,110,5
34.830949,-89.97512,38632,359.83,423.33,150,0,0
40.865977,-73.850815,10469,435.75,512.65,600,396,1
45.926777,-122.723999,98674,546.26,642.66,730,0,0
40.74621964,-73.72761536,11426,349.9,411.65,27,303.14,2
41.291962,-112.092981,84404,183.42,215.79,220,183.42,1
33.369185,-111.917844,85283,8722,10261.18,90,3010,19
47.718827,-122.040947,98077,856.73,1007.92,20,0,0
38.594617,-121.382834,95864,596.25,701.47,170,0,0
40.415284,-111.765759,84062,904.52,1064.14,33,0,0
39.47038938,-76.94394564,21784,481.49,566.46,475,0,0
41.134533,-73.414392,6851,1318.52,1551.2,12,970,10
45.494106,-122.551994,97266,1044.75,1229.12,27,0,0
29.78196,-90.830021,70301,792.8,932.71,22,0,0
34.811562,-106.740371,87031,1214.75,1429.12,80,0,0
39.777233,-104.986412,80216,559.84,658.64,55,45,2
32.369516,-96.100056,75147,1248,1468.24,10,0,0
35.192755,-106.717731,87114,422.34,496.87,800,0,0
43.07832,-87.914406,53212,724.69,852.58,20,0,0
48.697898,-119.429748,98855,251.63,296.04,23,288.98,4
32.361328,-88.738341,39307,310.88,365.74,25,15,1
34.36199896,-80.06358236,29501,947.25,1114.41,925,0,0
38.507051,-121.526741,95831,1078.83,1269.21,150,0,0
37.759073,-122.436365,94114,980.98,1154.09,28,0,0
35.94812775,-78.95552826,27707,467.66,550.19,100,0,0
39.75724,-74.233498,8005,1044.98,1229.39,21,1224.98,27
42.455597,-73.268555,1201,486.39,572.22,25,572.23,2
35.753436,-78.625722,27610,335.95,395.24,21,395.24,1
41.424428,-73.502317,6811,615.63,724.27,25,175,2
38.22848037,-85.81501499,40211,1248,1468.24,20,0,0
